# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9542
# Longitude (positive East, ISO 19115): -25.0917
# Altitude (m): 184.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;5017.1675;3402.0725;2289.4929;1112.5797;5361.8496;2260.9150;953.6949;1307.2201;2053.4338;0.9802
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;5060.8394;3632.0300;2897.8735;734.1566;6952.1968;2920.5623;1598.3301;1322.2321;3711.1143;0.9795
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;5105.6055;3580.2710;2740.0737;840.1972;6431.2129;2469.8577;1186.2163;1283.6414;2535.2825;0.9788
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;5151.3828;3613.9695;2515.1990;1098.7706;5851.4189;2977.5056;1483.6752;1493.8306;3561.4971;0.9781
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;5198.1235;3677.1199;2677.7502;999.3694;6156.5698;3005.5889;1686.2841;1319.3048;3492.7124;0.9778
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;5245.8862;3695.9858;2626.0222;1069.9639;6008.3096;2328.9326;873.2158;1455.7168;1872.9128;0.9823
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;5294.5967;3652.2227;2483.0361;1169.1866;5598.6558;2853.0791;1307.5651;1545.5142;2910.7429;0.9816
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;5344.2329;3711.7690;2650.8301;1060.9388;5914.9297;3341.3564;2064.6099;1276.7466;4573.4565;1.0000
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;5394.7441;3175.7568;1334.2385;1841.5182;2811.9712;2167.7371;418.9481;1748.7891;863.1770;0.9806
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;5446.1772;2985.1892;1006.9663;1978.2228;2089.1768;2763.9470;874.1548;1889.7922;1733.6053;0.9799
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;5498.5044;3313.2261;1498.7953;1814.4309;3118.6123;2897.0076;1065.2756;1831.7321;2173.1035;0.9792
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;5551.6274;3461.1030;1829.5144;1631.5886;3869.9749;1152.5731;33.5421;1119.0310;61.6815;0.9833
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;5605.5518;3656.4778;2077.5974;1578.8804;4367.7573;2859.7839;1174.4265;1685.3574;2244.7988;0.9826
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;5660.2563;3875.9797;2553.4871;1322.4928;5425.8579;3541.0288;2042.9731;1498.0558;4274.4580;0.9819
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;5715.7134;3737.5688;2162.3425;1575.2262;4515.2114;2515.4150;876.5598;1638.8553;1746.8578;0.9812
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;5771.8970;4067.1177;2788.2693;1278.8484;5933.7485;2574.8330;836.8337;1737.9993;1812.3859;0.9806
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;5828.7803;4042.1843;2747.6824;1294.5017;5801.8101;1964.4670;310.5930;1653.8740;774.1238;0.9799
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;5886.3374;4124.1694;3001.9006;1122.2690;6370.9873;2564.1541;662.4775;1901.6764;1736.4053;0.9792
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;5944.5420;4292.6997;3177.1287;1115.5712;6739.0820;2868.2441;1033.0372;1835.2069;1882.7302;0.9785
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;6003.3672;4400.6113;3436.9983;963.6129;7309.8584;2959.3433;1112.2874;1847.0560;2410.4905;0.9830
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;6062.7866;4385.0625;3353.4670;1031.5956;7043.7568;1445.3936;52.1032;1393.2904;255.1889;0.9913
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;6122.7739;4383.6431;3338.4270;1045.2159;6939.8428;2354.1184;456.0955;1898.0231;1045.9463;0.9816
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;6183.3438;4420.4712;3365.5984;1054.8730;6994.6602;3109.5540;1250.2899;1859.2640;2992.8118;0.9806
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;6244.3916;4507.4165;3629.0273;878.3890;7553.1074;4487.8291;3583.7866;904.0423;7238.0625;0.9799
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;6305.9282;4544.0811;3559.4482;984.6328;7335.7163;2074.5322;579.3323;1495.2000;1350.9038;0.9844
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;6367.9678;4594.8794;3536.7434;1058.1359;7135.6538;3687.5825;2197.0891;1490.4933;3847.6890;0.9833
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;6430.4170;4751.1533;3544.4905;1206.6627;7102.5938;2374.3701;357.2869;2017.0833;725.8165;0.9826
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;6493.2769;4734.0298;3609.5076;1124.5223;7235.9126;2356.8123;476.8748;1879.9375;1349.8248;0.9819
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;6556.5205;4819.8413;3819.2446;1000.5965;7643.3633;3467.2156;1876.2412;1590.9745;3783.4622;0.9812
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;6620.1206;4875.5884;3713.1372;1162.4514;7342.7285;3650.5359;1571.6987;2078.8372;3479.6145;0.9806
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;6684.1045;4751.7686;3324.5334;1427.2349;6454.1445;2726.5427;588.0782;2138.4646;1243.2682;0.9795
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;6748.3599;4882.1587;3669.8455;1212.3131;7109.0259;3570.1528;1572.7159;1997.4368;2766.8372;0.9788
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;6812.8921;5050.5029;3856.6038;1193.8990;7473.6499;3398.3682;1378.9889;2019.3794;2712.4050;0.9837
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;6877.7178;5051.7651;3717.1672;1334.5978;7091.1680;4379.1675;2562.1685;1816.9987;4699.5430;0.9823
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;6942.7476;5055.5112;3897.3384;1158.1730;7502.3306;4124.6245;2196.2185;1928.4058;4000.3762;0.9816
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;7007.9727;5003.2661;3668.0581;1335.2081;6853.3975;3923.5000;1883.0367;2040.4633;3297.1597;0.9809
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;7073.4092;4964.3428;3485.9736;1478.3694;6519.3198;2472.9880;308.6722;2164.3159;552.8618;0.9799
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;7138.9712;5071.1182;3585.8628;1485.2554;6688.0215;2926.7659;364.3693;2562.3967;693.7849;0.9844
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;7204.6475;5199.1523;3982.0337;1217.1187;7516.8218;2040.1555;199.8796;1840.2759;344.5067;0.9837
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;7270.4614;5358.8433;4129.0586;1229.7845;7663.1758;4942.0903;3243.0259;1699.0642;6195.7549;0.9826
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;7336.3140;5301.1152;4030.1609;1270.9543;7393.5107;3830.6016;1138.0378;2692.5637;2074.9138;0.9767
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;7402.2002;5397.1162;4348.4087;1048.7075;8009.5635;3126.4263;763.7095;2362.7166;1280.6086;0.9812
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;7468.1631;5536.9111;4625.7026;911.2086;8527.2295;4280.1108;2306.9243;1973.1865;4566.7500;0.9802
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;7534.0703;5751.4180;4800.8813;950.5367;8773.1885;5665.9404;4652.5635;1013.3768;8236.2998;0.9799
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;7599.9497;5476.6519;3785.9014;1690.7507;6722.1470;3397.2544;930.8821;2466.3723;1537.0231;0.9844
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;7665.7827;5714.5454;4669.1689;1045.3767;8417.8945;5708.9780;4657.7031;1051.2748;8397.5137;0.9833
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;7731.5669;5591.6362;3919.1689;1672.4674;6800.6045;4522.3472;2072.5471;2449.8000;3335.7031;0.9823
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;7797.2271;5533.5923;3736.1165;1797.4757;6449.3423;4302.7456;1766.5754;2536.1702;2792.0867;0.9816
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;7862.7476;5662.0015;4178.7817;1483.2194;7327.6533;3837.0625;1058.6849;2778.3774;2197.6655;0.9809
