# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 41.2335
# Longitude (positive East, ISO 19115): -8.6813
# Altitude (m): 62.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-31
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;3620.7107;2416.5483;1830.2227;586.3257;5532.2085;1880.8782;1120.1370;760.7412;3457.4458;0.9771
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;3637.2891;2379.0317;1641.8812;737.1505;4877.6299;1817.3064;735.6581;1081.6483;2184.8284;0.9767
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;3655.2344;2317.0483;1484.0842;832.9642;4343.5151;557.1548;3.7389;553.4160;16.1719;0.9767
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;3674.6033;2504.5210;1801.9314;702.5896;5430.2271;1643.4927;971.7577;671.7350;2857.8452;0.9764
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;3695.3459;2430.4485;1587.9269;842.5215;4620.6416;737.8518;127.1374;610.7144;560.5836;0.9760
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;3717.4700;2447.7395;1619.4762;828.2633;4718.4233;1233.0839;141.3215;1091.7625;472.5883;0.9757
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;3740.9587;2663.1812;2141.9148;521.2664;6427.5103;2663.1812;2141.9148;521.2664;6427.5103;0.9753
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;3765.8020;2630.0188;1948.1907;681.8281;5751.0039;1847.0198;417.8803;1429.1394;1325.6833;0.9802
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;3791.9893;2475.7883;1635.8339;839.9545;4709.9907;625.5021;7.4852;618.0169;74.1858;0.9799
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;3819.5496;2654.3501;2046.9022;607.4478;6003.0356;959.4072;100.7661;858.6411;226.5554;0.9792
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;3848.4060;2686.0134;2201.0769;484.9366;6548.0918;2686.0134;2201.0769;484.9366;6548.0918;0.9788
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;3878.6062;2782.2993;2349.9961;432.3034;7026.0645;2782.2993;2349.9961;432.3034;7026.0645;0.9781
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;3910.1077;2801.0735;2339.8054;461.2682;6928.5273;2801.0735;2339.8054;461.2682;6928.5273;0.9774
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;3942.8787;2762.3499;2214.8992;547.4507;6436.2495;2740.1213;2177.1116;563.0097;6334.9736;0.9771
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;3976.9160;2751.2368;2181.8862;569.3507;6292.4077;2118.3669;993.3372;1125.0298;3171.9148;0.9767
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;4012.2563;2570.5212;1658.2375;912.2837;4564.4736;1898.2839;601.9993;1296.2847;1772.5482;0.9812
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;4048.8086;2758.9233;2092.0471;666.8760;5914.3252;2758.9233;2092.0471;666.8760;5914.3252;0.9757
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;4086.6323;2870.7534;2320.4968;550.2567;6602.4614;2870.7534;2320.4968;550.2567;6602.4614;0.9802
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;4125.6768;2954.6851;2419.2727;535.4123;6822.0288;2954.6851;2419.2727;535.4123;6822.0288;0.9795
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;4165.9419;2946.9878;2375.3721;571.6157;6652.3633;2946.9878;2375.3721;571.6157;6652.3633;0.9788
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;4207.3862;3007.1641;2509.5610;497.6031;7010.9502;2841.6040;2182.6016;659.0024;5946.4082;0.9785
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;4249.9756;3041.5640;2500.4502;541.1138;6924.2402;2991.9062;2412.3721;579.5342;6685.8545;0.9778
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;4293.7549;3071.5083;2481.8813;589.6270;6857.3931;3071.5083;2481.8813;589.6270;6857.3931;0.9771
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;4338.7144;3082.1650;2479.2014;602.9636;6777.6924;3082.1650;2479.2014;602.9636;6777.6924;0.9760
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;4384.7578;3107.1370;2486.4854;620.6516;6703.7852;3107.1370;2486.4854;620.6516;6703.7852;0.9806
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;4431.8774;3168.3279;2602.2859;566.0420;6934.1660;3126.7607;2530.8054;595.9554;6636.8906;0.9802
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;4480.1094;3011.0676;2165.3049;845.7626;5560.3433;3011.0676;2165.3049;845.7626;5560.3433;0.9795
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;4529.4487;3411.7500;2900.4626;511.2873;7783.0449;3411.7500;2900.4626;511.2873;7783.0449;0.9785
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;4579.7939;3392.8889;2791.3701;601.5188;7361.9478;3392.8889;2791.3701;601.5188;7361.9478;0.9778
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;4631.1562;3090.3779;2107.7515;982.6266;5269.7993;2708.0430;1348.1913;1359.8518;3745.9971;1.0000
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;4683.5488;3152.2070;2233.0408;919.1661;5568.6138;3152.2070;2233.0408;919.1661;5568.6138;0.9812
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;4736.8965;3349.8022;2808.8782;540.9240;7224.9497;3349.8022;2808.8782;540.9240;7224.9497;0.9806
