# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 37.1492
# Longitude (positive East, ISO 19115): -8.5814
# Altitude (m): -1.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-31
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;4982.5259;2894.9622;1378.3435;1516.6187;3053.3691;2353.6318;698.0462;1655.5856;1626.1837;0.9809
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;5026.2681;2944.3413;1432.5936;1511.7477;3221.5225;1651.2551;206.7959;1444.4592;475.4287;0.9799
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;5071.0464;3322.1580;2183.2617;1138.8962;5017.5439;2946.1941;1830.0728;1116.1212;3964.7170;0.9792
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;5116.8208;3212.8738;1846.4462;1366.4276;4160.4028;2225.2185;743.0411;1482.1775;1531.6168;0.9788
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;5163.6377;3347.2930;2170.7693;1176.5238;4944.4199;3285.3262;2077.5808;1207.7455;4765.8252;0.9781
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;5211.4702;3534.3730;2563.3940;970.9790;5938.9512;3534.3730;2563.3940;970.9790;5938.9512;0.9823
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;5260.1934;2899.5750;1188.2531;1711.3219;2517.5137;2806.6467;1117.3048;1689.3418;2357.6279;0.9819
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;5309.8975;2875.4385;1087.7885;1787.6500;2278.0125;2404.7102;666.9899;1737.7203;1397.3705;0.9986
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;5360.5093;3129.0679;1405.6348;1723.4331;3010.5576;3129.0679;1405.6348;1723.4331;3010.5576;0.9806
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;5412.0044;3998.2939;3369.5432;628.7507;7792.4028;3989.4775;3354.8032;634.6744;7749.6675;0.9799
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;5464.3599;3968.6406;3272.7651;695.8757;7515.9175;3884.5098;3113.7610;770.7488;7165.2568;0.9795
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;5517.5503;3620.8589;2416.6440;1204.2147;5262.3032;3140.7544;1504.9391;1635.8153;3299.5083;0.9837
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;5571.5161;3546.6321;2280.6843;1265.9478;4861.4922;1295.6951;57.9099;1237.7853;116.3539;0.9833
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;5626.3071;3769.5881;2667.0527;1102.5354;5818.3950;3706.7917;2583.5012;1123.2905;5598.7681;0.9826
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;5681.8555;3993.8340;3027.4414;966.3926;6658.9575;3914.1096;2889.9084;1024.2013;6321.0088;0.9767
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;5738.1797;4120.6499;3323.5969;797.0529;7340.9644;4120.6499;3323.5969;797.0529;7340.9644;0.9809
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;5795.1714;4077.0093;3115.6316;961.3776;6764.1533;4046.3164;3072.1174;974.1991;6644.9712;0.9802
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;5852.8408;3791.5042;2281.1729;1510.3313;4657.4839;3791.5042;2281.1729;1510.3313;4657.4839;0.9795
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;5911.1626;3568.8623;1777.9642;1790.8981;3528.9060;2474.8740;466.9945;2007.8795;1079.3054;0.9788
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;5970.1099;3659.9141;1885.2330;1774.6812;3812.9780;2925.6531;1115.6210;1810.0322;2457.9944;0.9833
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;6029.6948;3838.3042;2266.2517;1572.0525;4584.5054;3586.9612;1897.0131;1689.9480;3646.9844;0.9885
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;6089.8218;4199.7944;3001.1675;1198.6268;6131.0508;3072.7249;1311.5371;1761.1879;2468.9863;0.9816
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;6150.4971;4510.1523;3604.1431;906.0094;7551.3589;4105.4404;2821.1125;1284.3282;6176.7930;0.9809
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;6211.6934;4673.1729;4018.5657;654.6070;8553.6533;4673.1729;4018.5657;654.6070;8553.6533;0.9802
