# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 39.1259
# Longitude (positive East, ISO 19115): -9.3790
# Altitude (m): 38.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;3982.3589;2723.7971;2129.7988;593.9984;6067.7397;2217.1604;1046.3578;1170.8026;3352.5745;0.9830
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;3998.9067;2532.0049;1593.0483;938.9566;4423.2349;1691.0076;441.4433;1249.5642;1276.6340;0.9830
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;4016.8381;2653.1919;1868.4226;784.7693;5190.6562;1791.6156;701.4714;1090.1442;2297.7595;0.9823
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;4036.1467;2761.7881;2033.9512;727.8368;5652.1362;1743.7184;940.9222;802.7962;2541.0720;0.9819
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;4056.7839;2690.2095;1778.8909;911.3185;4781.6914;1608.0853;526.3115;1081.7738;1496.8188;0.9819
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;4078.8291;2733.0024;1835.3229;897.6796;5010.1606;1817.0352;682.2548;1134.7804;2224.1699;0.9816
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;4102.2256;2942.3010;2412.4397;529.8614;6787.9058;2512.1257;1616.5881;895.5377;4867.2422;0.9812
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;4126.9624;3009.2048;2472.6694;536.5354;6984.5884;2758.7698;1883.2164;875.5535;5375.1968;0.9809
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;4153.0283;2840.8967;2110.9368;729.9600;5748.8906;1108.6089;100.5460;1008.0629;421.8988;0.9806
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;4180.4106;2954.8374;2283.3940;671.4434;6246.8120;1761.7457;722.2224;1039.5233;1750.5416;0.9802
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;4209.0957;2959.4453;2396.8359;562.6095;6650.8911;2843.1750;2188.2136;654.9612;6112.0469;0.9799
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;4239.0703;2993.9912;2505.3250;488.6662;6958.6147;2993.9912;2505.3250;488.6662;6958.6147;0.9795
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;4270.3721;3054.6670;2515.1040;539.5629;6903.9873;3043.0913;2495.3518;547.7395;6849.0405;0.9788
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;4302.9009;3008.0757;2364.9907;643.0851;6416.8438;2724.6372;1834.3763;890.2607;5121.9907;0.9788
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;4336.7148;2953.6672;2240.4690;713.1982;5972.1821;1253.5010;274.7649;978.7361;949.0024;0.9778
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;4371.7798;2881.2700;2005.8540;875.4160;5186.2778;2693.0012;1681.0850;1011.9161;4279.5713;0.9771
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;4408.0259;3071.3159;2387.9443;683.3716;6328.9619;3020.1807;2306.1418;714.0389;6113.7881;0.9715
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;4445.5171;3185.3247;2601.9236;583.4010;6946.7114;3185.3247;2601.9236;583.4010;6946.7114;0.9760
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;4484.1650;3298.1016;2747.1824;550.9191;7345.0635;3298.1016;2747.1824;550.9191;7345.0635;0.9757
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;4524.0229;3322.3237;2744.1445;578.1791;7286.9512;3322.3237;2744.1445;578.1791;7286.9512;0.9750
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;4565.0020;3301.8481;2750.5930;551.2551;7253.1172;3301.8481;2750.5930;551.2551;7253.1172;0.9799
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;4607.1616;3324.4014;2753.8965;570.5050;7212.9912;3324.4014;2753.8965;570.5050;7212.9912;0.9844
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;4650.4727;2944.6550;1757.1801;1187.4751;4258.0015;2944.6550;1757.1801;1187.4751;4258.0015;0.9833
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;4694.8354;3204.1362;2373.4517;830.6845;5874.8242;3204.1362;2373.4517;830.6845;5874.8242;0.9833
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;4740.3125;3272.8562;2437.2410;835.6152;6086.5806;3272.8562;2437.2410;835.6152;6086.5806;0.9823
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;4786.8472;3328.3018;2606.8894;721.4124;6477.8101;3053.5442;2168.3098;885.2343;5170.3198;0.9816
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;4834.3936;3170.7388;2168.2173;1002.5215;5203.7471;3099.3313;2089.1174;1010.2139;4892.8203;0.9812
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;4883.0000;3388.1055;2596.2585;791.8469;6363.0791;3385.9043;2595.4856;790.4187;6359.2358;0.9806
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;4932.6455;3296.0466;2317.8579;978.1887;5541.3384;3235.4626;2221.6716;1013.7911;5347.2007;0.9795
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;4983.2344;2782.6570;1180.9805;1601.6764;2611.2668;2314.3589;698.4985;1615.8605;1629.2081;1.0000
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;5034.7754;3221.9351;1956.1249;1265.8102;4525.0449;3198.3333;1919.0568;1279.2764;4454.3560;0.9781
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;5087.2441;3699.1626;3165.3333;533.8294;7773.4624;3691.9165;3153.2520;538.6646;7729.9873;0.9774
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;5140.5815;3692.1499;3012.7949;679.3550;7258.9292;3609.4265;2838.8301;770.5964;6835.8677;0.9771
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;5194.8765;3282.7490;1961.8842;1320.8649;4428.6396;2037.0924;230.5095;1806.5829;618.9755;0.9760
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;5249.9985;3415.0889;2217.8496;1197.2391;4992.9282;2562.8098;686.3676;1876.4423;1654.2776;0.9753
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;5305.9512;3740.4766;2910.2192;830.2575;6777.2881;3740.4766;2910.2192;830.2575;6777.2881;0.9851
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;5362.7065;3936.1628;3290.8894;645.2733;7771.6426;3922.5098;3263.5295;658.9802;7720.9951;0.9792
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;5420.2773;3906.8511;3178.3865;728.4645;7395.8853;3906.8511;3178.3865;728.4645;7395.8853;0.9833
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;5478.5659;4002.7390;3336.8230;665.9159;7698.0913;4002.7390;3336.8230;665.9159;7698.0913;0.9826
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;5537.6240;3370.9878;1729.8157;1641.1721;3645.8777;3367.5698;1725.7361;1641.8336;3636.6868;0.9816
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;5597.3516;3362.5193;1648.6569;1713.8624;3396.8235;2013.5189;218.6226;1794.8964;421.7234;0.9809
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;5657.7524;3570.2900;2031.1478;1539.1423;4251.2573;3405.9382;1742.6833;1663.2549;3651.7913;0.9802
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;5718.7998;3909.5398;2737.5161;1172.0236;5913.8667;3391.3301;1795.1704;1596.1595;3992.1138;0.9885
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;5780.4678;3983.5308;2746.9844;1236.5465;5984.3770;1389.1334;125.1077;1264.0258;558.2128;0.9788
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;5842.7715;4238.6006;3201.9368;1036.6637;6845.0107;4162.1885;3076.0295;1086.1589;6520.0386;0.9778
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;5905.6577;4297.3999;3315.6382;981.7619;7144.1846;3784.3008;2305.5049;1478.7959;4908.0083;0.9767
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;5969.0581;4105.8760;2791.9138;1313.9619;5842.7300;3050.5903;937.8071;2112.7834;2307.8916;0.9760
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;6032.9741;4294.0059;3397.7883;896.2174;7283.4741;2883.4338;1254.9471;1628.4866;3545.6021;0.9858
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;6097.4248;4325.1978;3254.4917;1070.7061;6812.7100;3436.2407;2142.0854;1294.1552;3929.1323;0.9847
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;6162.3154;4619.9082;3863.9104;755.9975;8246.7910;4415.4399;3451.2356;964.2046;7385.5723;0.9840
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;6227.6431;4645.1689;4014.7229;630.4462;8621.5850;4607.3271;3947.5938;659.7335;8369.6865;0.9833
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;6293.4243;4645.3784;3823.2036;822.1748;7985.0293;4284.4248;2802.3743;1482.0508;6297.2778;0.9823
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;6359.5713;4844.4028;4245.1011;599.3017;9058.3379;4836.6226;4232.0073;604.6155;9012.2031;0.9819
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;6426.1143;4823.9937;4081.3564;742.6372;8521.7275;3315.2048;755.5963;2559.6086;1749.7297;0.9806
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;6493.0078;4289.5547;2668.0557;1621.4991;5207.1050;1223.2356;13.2739;1209.9617;25.9361;0.9795
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;6560.1797;4464.6050;3049.3821;1415.2230;6054.3955;4225.5024;2575.6221;1649.8802;5171.3252;0.9788
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;6627.6641;4552.5386;3176.3818;1376.1567;6241.7437;3530.5852;1863.9614;1666.6238;4143.7319;0.9778
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;6695.3882;4892.1035;3908.5608;983.5430;7840.3711;4892.1035;3908.5608;983.5430;7840.3711;0.9771
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;6763.3311;4755.5903;3621.4175;1134.1726;7103.6108;4415.1509;2861.7510;1553.3998;5610.0405;0.9816
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;6831.5283;4852.7617;3788.9976;1063.7640;7417.3857;3504.3481;1491.5800;2012.7682;2801.6257;0.9858
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;6899.8594;4959.1064;3799.8533;1159.2531;7380.9214;4225.6353;2085.2034;2140.4321;4325.7075;0.9851
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;6968.3848;5112.9604;3888.6567;1224.3040;7401.8169;4077.9731;2636.7717;1441.2013;4526.7969;0.9840
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;7036.9961;5322.1421;4457.0703;865.0715;8639.0352;5218.6533;4248.4805;970.1729;8186.2646;0.9781
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;7105.7446;5129.9019;3963.0906;1166.8114;7616.5415;2136.0811;328.4120;1807.6691;1093.4745;0.9826
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;7174.5312;5493.0093;4717.1675;775.8422;9157.9512;5493.0093;4717.1675;775.8422;9157.9512;0.9816
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;7243.4004;5358.9058;4268.4771;1090.4287;8139.7295;3787.4541;1267.7419;2519.7122;2856.2783;0.9806
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;7312.2520;5340.8862;3987.8687;1353.0175;7378.8818;4181.3359;2151.9165;2029.4194;4273.3359;0.9799
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;7381.1401;5205.8652;3554.2537;1651.6116;6492.5073;3742.2551;1351.4982;2390.7571;2367.2100;0.9788
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;7449.9585;5372.4092;3929.0549;1443.3546;7164.3896;3463.5647;1083.1788;2380.3857;2033.4481;0.9781
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;7518.8101;5434.8672;4006.6162;1428.2511;7332.4224;3426.0515;1051.4615;2374.5898;2289.1943;0.9767
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;7587.4995;5356.7207;3727.3462;1629.3746;6680.9404;1614.3113;56.0485;1558.2628;126.5689;0.9865
2022-03-13T00:00:00.0/2022-03-14T00:00:00.0;7656.1431;5700.5537;4505.6309;1194.9229;8181.1338;4707.3877;2133.4641;2573.9236;4066.7065;0.9854
2022-03-14T00:00:00.0/2022-03-15T00:00:00.0;7724.6514;5574.1772;4340.6597;1233.5175;7835.5815;4547.7461;2753.7603;1793.9861;5230.4424;0.9844
2022-03-15T00:00:00.0/2022-03-16T00:00:00.0;7792.9946;4928.1196;2636.5420;2291.5774;4540.4873;3895.1497;1381.7780;2513.3716;2317.3120;0.9840
2022-03-16T00:00:00.0/2022-03-17T00:00:00.0;7861.2021;4514.7368;1776.7937;2737.9429;2890.2002;1082.8407;25.3497;1057.4911;96.2687;0.9826
2022-03-17T00:00:00.0/2022-03-18T00:00:00.0;7929.1929;5511.4824;3885.6770;1625.8054;6642.0083;2699.8752;208.8649;2491.0103;420.7000;0.9819
2022-03-18T00:00:00.0/2022-03-19T00:00:00.0;7997.0181;5808.1694;4676.6885;1131.4811;8183.0283;5808.1694;4676.6885;1131.4811;8183.0283;0.9809
2022-03-19T00:00:00.0/2022-03-20T00:00:00.0;8064.5742;5617.4800;3966.1111;1651.3690;6688.6499;4450.2173;2104.1997;2346.0178;3589.9937;0.9802
2022-03-20T00:00:00.0/2022-03-21T00:00:00.0;8131.9365;5474.7896;3443.0291;2031.7604;5813.5693;2302.3047;832.6864;1469.6182;1169.2999;0.9792
2022-03-21T00:00:00.0/2022-03-22T00:00:00.0;8199.0225;6008.4058;4868.9365;1139.4690;8535.0449;3756.0544;1413.1154;2342.9390;3122.3181;0.9781
2022-03-22T00:00:00.0/2022-03-23T00:00:00.0;8265.8027;6024.0337;4776.0498;1247.9840;8221.4385;1644.1168;102.3158;1541.8010;383.7087;0.9722
2022-03-23T00:00:00.0/2022-03-24T00:00:00.0;8332.3105;6100.9995;5179.1216;921.8781;8970.9365;1924.8502;129.9336;1794.9166;518.2639;0.9764
2022-03-24T00:00:00.0/2022-03-25T00:00:00.0;8398.4238;5810.6982;4080.0310;1730.6674;6878.0776;2632.1455;347.4437;2284.7019;834.1932;0.9865
2022-03-25T00:00:00.0/2022-03-26T00:00:00.0;8464.2812;5737.7134;3842.6106;1895.1029;6101.1143;1969.9183;58.3523;1911.5660;139.4628;0.9854
