# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 41.7457
# Longitude (positive East, ISO 19115): -8.8153
# Altitude (m): 469.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;3532.9785;2360.7529;1773.8207;586.9324;5449.2070;1564.0924;646.5025;917.5899;2100.7585;0.9785
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;3549.5261;2381.3611;1715.3706;665.9905;5211.6479;1671.8098;475.3068;1196.5029;1660.2542;0.9785
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;3567.5049;2277.5635;1460.3958;817.1677;4368.4307;355.5591;1.0854;354.4736;5.1296;0.9778
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;3586.8745;2482.2043;1826.7894;655.4149;5657.6372;1527.4985;761.5272;765.9713;2049.7905;0.9774
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;3607.6211;2409.6389;1597.6688;811.9700;4786.4570;947.1643;273.8163;673.3480;906.0529;0.9771
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;3629.7517;2425.7556;1676.3634;749.3922;5010.3696;1031.1219;126.3311;904.7909;535.5286;0.9767
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;3653.2505;2602.8074;2065.0325;537.7751;6291.1392;2518.2571;1913.2123;605.0447;5894.2778;0.9764
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;3678.1072;2559.9338;1849.3256;710.6083;5543.6768;1629.8329;467.7634;1162.0695;1646.6041;0.9760
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;3704.3113;2454.3286;1702.1506;752.1779;5023.3970;440.3515;0.1489;440.2026;0.4573;0.9757
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;3731.8845;2621.3645;2054.5911;566.7736;6181.9263;1223.0482;84.4830;1138.5652;289.3299;0.9750
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;3760.7656;2658.9250;2220.5508;438.3743;6758.6045;2658.9250;2220.5508;438.3743;6758.6045;0.9747
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;3790.9939;2720.3115;2312.8352;407.4763;7054.9756;2697.3413;2269.1133;428.2280;6956.8198;0.9795
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;3822.4934;2775.7852;2352.3374;423.4477;7135.0312;2775.7852;2352.3374;423.4477;7135.0312;0.9788
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;3855.3345;2744.6567;2247.2756;497.3812;6696.1675;2744.6567;2247.2756;497.3812;6696.1675;0.9781
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;3889.4150;2713.7971;2170.2979;543.4993;6384.2407;2007.0553;794.0097;1213.0455;2695.5242;0.9778
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;3924.8013;2556.9414;1694.3287;862.6127;4779.1074;2108.0801;926.0964;1181.9836;2472.2798;0.9771
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;3961.4067;2711.1938;2079.0667;632.1272;5974.7031;2558.4119;1761.2365;797.1754;5196.5557;0.9767
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;3999.2891;2818.7300;2274.1111;544.6190;6571.1201;2818.7300;2274.1111;544.6190;6571.1201;0.9812
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;4038.4045;2892.4766;2353.2056;539.2709;6753.1689;2892.4766;2353.2056;539.2709;6753.1689;0.9806
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;4078.7429;2907.3447;2372.7886;534.5562;6780.0122;2907.3447;2372.7886;534.5562;6780.0122;0.9799
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;4120.2681;2966.5137;2491.5142;474.9995;7090.7139;2850.7354;2257.6194;593.1158;6575.7363;0.9792
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;4162.9395;3025.1802;2534.4834;490.6968;7185.0088;3016.7227;2521.6089;495.1138;7150.2070;0.9792
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;4206.8584;3043.4575;2495.0359;548.4217;7039.5903;3043.4575;2495.0359;548.4217;7039.5903;0.9778
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;4251.8906;3068.0688;2513.0198;555.0493;7026.3140;3068.0688;2513.0198;555.0493;7026.3140;0.9771
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;4298.0469;3073.0496;2496.7705;576.2791;6858.4180;3073.0496;2496.7705;576.2791;6858.4180;0.9764
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;4345.2769;3136.9961;2605.5598;531.4364;7108.8740;2911.9185;2201.6335;710.2850;5650.7661;0.9760
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;4393.6870;3034.1040;2273.4529;760.6512;6014.6060;3034.1040;2273.4529;760.6512;6014.6060;0.9802
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;4443.1338;3384.3562;2904.6716;479.6847;7922.2036;3384.3562;2904.6716;479.6847;7922.2036;0.9795
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;4493.6274;3331.3040;2730.8660;600.4382;7263.0137;3331.3040;2730.8660;600.4382;7263.0137;0.9788
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;4545.1865;3119.3069;2268.9453;850.3616;5830.8657;3053.0520;2163.1418;889.9103;5425.2300;1.0000
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;4597.7300;3307.9136;2646.5100;661.4037;6856.2803;3307.9136;2646.5100;661.4037;6856.2803;0.9826
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;4651.2554;3310.1375;2772.0979;538.0395;7258.7002;3310.1375;2772.0979;538.0395;7258.7002;0.9816
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;4705.7388;3392.2119;2823.4634;568.7485;7321.9839;3387.2385;2815.7681;571.4706;7296.2559;0.9809
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;4761.2095;3175.5771;2079.1038;1096.4734;5121.8857;2314.2610;634.3556;1679.9053;1633.4249;0.9799
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;4817.5562;3206.9907;2195.5461;1011.4446;5369.9512;2284.3643;855.5096;1428.8545;2189.9641;0.9792
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;4874.7905;3533.8508;2946.0605;587.7903;7496.6128;3533.8508;2946.0605;587.7903;7496.6128;0.9785
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;4932.9673;3632.3787;3084.0178;548.3610;7837.6074;3586.8491;2990.7354;596.1138;7654.3325;0.9719
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;4991.9292;3697.7317;3153.4297;544.3021;7955.4390;3697.7317;3153.4297;544.3021;7955.4390;0.9764
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;5051.7017;3783.7693;3278.5803;505.1890;8212.7773;3783.7693;3278.5803;505.1890;8212.7773;0.9809
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;5112.2949;3463.7827;2396.3154;1067.4674;5573.0562;3420.6995;2345.1990;1075.5005;5436.8506;0.9799
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;5173.6304;3040.9685;1398.8501;1642.1184;3126.8525;2021.8666;370.0475;1651.8190;833.1932;0.9792
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;5235.7427;3500.1470;2267.2546;1232.8923;5156.4990;3053.4080;1562.7178;1490.6902;3283.1333;0.9833
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;5298.5366;3726.8418;2745.8044;981.0376;6416.1748;2982.8662;1251.9178;1730.9484;3471.2314;0.9906
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;5362.0576;3717.0576;2540.6548;1176.4030;5860.6514;555.2062;0.3180;554.8881;2.3040;0.9816
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;5426.2466;3908.8997;2819.8877;1089.0121;6418.9761;3352.2117;1962.5509;1389.6608;4313.4961;0.9806
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;5491.0493;3905.6360;2793.3955;1112.2406;6262.3799;2486.1423;740.2227;1745.9197;1993.5964;0.9799
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;5556.4551;3825.7068;2575.1362;1250.5704;5726.8530;1176.5088;12.6117;1163.8971;36.8645;0.9792
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;5622.5366;4065.0378;3284.1270;780.9111;7531.9077;1965.1887;177.5873;1787.6014;629.9526;0.9781
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;5689.1172;4076.1333;3138.4888;937.6445;6971.8135;1963.0493;225.5083;1737.5410;876.1409;0.9771
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;5756.2588;4289.1528;3643.7522;645.4008;8294.0244;4181.9785;3433.8237;748.1550;7852.0308;0.9812
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;5823.8926;4199.7422;3385.4214;814.3212;7509.8779;3703.7603;2384.5503;1319.2098;5309.5273;0.9806
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;5892.0474;4327.5259;3650.5371;676.9888;8139.1860;4200.5957;3367.8052;832.7906;7493.6392;0.9795
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;5960.6792;4490.2603;3891.6079;598.6522;8741.8828;4490.2603;3891.6079;598.6522;8741.8828;0.9837
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;6029.6968;4438.6577;3694.2163;744.4412;8122.2065;3759.4617;2061.8828;1697.5787;4544.6694;0.9830
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;6099.1694;4437.9561;3523.1814;914.7748;7579.0122;2792.4873;540.7765;2251.7107;1322.0182;0.9819
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;6169.0186;4562.6909;3786.5107;776.1799;8114.4946;4562.6909;3786.5107;776.1799;8114.4946;0.9809
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;6239.2446;4317.1245;3070.3926;1246.7318;6393.6099;2672.8281;1072.9600;1599.8683;3007.4045;0.9802
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;6309.7827;4636.8643;3732.9368;903.9277;7876.4478;3477.3633;1595.0012;1882.3621;4040.0068;0.9788
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;6380.6001;4437.0518;3233.1482;1203.9034;6643.1226;3087.1641;829.1133;2258.0508;1965.5637;0.9781
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;6451.7153;4610.8501;3660.7434;950.1066;7531.6406;878.3805;42.0138;836.3667;195.8590;0.9771
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;6523.0913;4653.6270;3542.7820;1110.8450;7187.1826;1792.3029;123.2836;1669.0192;434.0691;0.9812
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;6594.6899;4914.4385;3925.0959;989.3427;8028.0815;4253.3472;2925.7729;1327.5743;5914.6323;0.9802
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;6666.4336;5096.3247;4362.6650;733.6597;9007.2246;4874.1006;3862.1370;1011.9639;8182.6333;0.9795
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;6738.3921;4998.0005;4066.0447;931.9559;8287.5566;3532.0471;1292.2526;2239.7944;2591.5410;0.9837
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;6810.4800;5225.8813;4569.0117;656.8696;9368.0801;4861.7505;3819.9331;1041.8175;7670.0522;0.9826
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;6882.6792;5155.9814;4303.2559;852.7254;8570.8154;3935.7014;2301.5718;1634.1295;4695.3218;0.9816
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;6954.9780;5044.3223;3569.9617;1474.3608;6881.3872;4409.9580;2631.1504;1778.8074;4899.9409;0.9809
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;7027.3252;4977.5586;3368.4573;1609.1014;6561.4897;1392.7229;46.7670;1345.9559;139.8737;0.9795
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;7099.6748;5187.2607;4038.2458;1149.0149;7752.6870;1205.3627;34.2080;1171.1547;69.4126;0.9788
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;7172.0713;5316.2764;3983.4766;1332.8002;7519.4160;3709.7041;1326.2164;2383.4878;2579.1191;0.9778
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;7244.4429;5100.1694;3463.1367;1637.0326;6437.6626;1704.6162;52.4949;1652.1213;170.2238;0.9819
2022-03-13T00:00:00.0/2022-03-14T00:00:00.0;7316.7441;5360.1567;3861.5476;1498.6093;7111.0693;2390.5413;247.3985;2143.1428;472.1563;0.9812
2022-03-14T00:00:00.0/2022-03-15T00:00:00.0;7389.0645;5429.5464;4389.5796;1039.9664;8324.7588;2317.5542;345.4229;1972.1313;655.5496;0.9799
2022-03-15T00:00:00.0/2022-03-16T00:00:00.0;7461.2583;4650.8608;2381.6499;2269.2109;4213.4141;4455.9795;2205.8198;2250.1599;3667.3276;0.9840
2022-03-16T00:00:00.0/2022-03-17T00:00:00.0;7533.3091;4980.8105;2912.8672;2067.9431;5153.1616;2468.9780;281.9282;2187.0500;508.9092;0.9833
2022-03-17T00:00:00.0/2022-03-18T00:00:00.0;7605.2739;5781.4570;4919.1025;862.3548;9139.8906;3249.3787;384.0470;2865.3318;873.4808;0.9823
2022-03-18T00:00:00.0/2022-03-19T00:00:00.0;7677.0806;5701.0596;4785.2539;915.8058;8871.0391;5701.0596;4785.2539;915.8058;8871.0391;0.9816
2022-03-19T00:00:00.0/2022-03-20T00:00:00.0;7748.6724;5693.1118;4578.5850;1114.5267;8378.5352;4391.2119;2858.9482;1532.2639;5244.7339;0.9806
2022-03-20T00:00:00.0/2022-03-21T00:00:00.0;7820.1216;5581.0938;4151.2051;1429.8887;7357.1650;2632.9358;373.0437;2259.8921;1159.1095;0.9795
2022-03-21T00:00:00.0/2022-03-22T00:00:00.0;7891.3506;5892.7363;5008.7896;883.9468;9196.4521;4644.8501;2850.2952;1794.5549;4605.4326;0.9785
2022-03-22T00:00:00.0/2022-03-23T00:00:00.0;7962.3779;5796.2095;4567.7822;1228.4271;8272.2197;1714.5210;113.6579;1600.8630;473.1326;0.9719
2022-03-23T00:00:00.0/2022-03-24T00:00:00.0;8033.0903;5967.8398;5141.2651;826.5744;9330.0684;2733.6177;630.3190;2103.2986;1608.7803;0.9816
2022-03-24T00:00:00.0/2022-03-25T00:00:00.0;8103.5645;6036.8989;5102.4233;934.4756;9158.1895;5360.3374;3802.2207;1558.1166;6042.5283;0.9806
2022-03-25T00:00:00.0/2022-03-26T00:00:00.0;8173.7368;5594.9541;3742.2617;1852.6924;6299.8145;2204.3074;141.5205;2062.7869;243.7444;0.9795
