ANO,MÊS,DIA,Viana do Castelo,Braga,Vila Real,Bragança,Porto,Aveiro,Viseu,Guarda,Coimbra,Castelo Branco,Leiria,Santarém,Portalegre,Lisboa,Setúbal,Évora,Beja,Faro
2010,1,31,-990,7541.6,4811.3,9342.2,-990,7295.2,4559.1,8730.8,6929.9,10773.3,8169.3,6084.9,6871.3,7004.9,7795.9,9190.6,7959.3,8221.5
2010,2,1,-990,14154.9,11654,12302.2,-990,12289.2,13914.7,13027.3,13301.9,13540.9,12015,7627.6,13765.4,13462.6,13494,14145.4,-990,14945.3
2010,2,2,-990,-990,11704.9,13333.6,-990,12463.8,13740.9,13063.1,13184.4,13624.1,12254.2,7782.6,13751.7,13446.1,13573.9,14324.3,16121.2,11692.5
2010,2,3,-990,8821,10198.6,10562.3,-990,8265.5,9570.6,7472.2,5999.3,7083.4,4705.7,4199.2,5006.6,4304.5,4380.7,5023.3,6248,4856.4
2010,2,4,-990,2537.8,3199.8,1929.7,-990,3776.9,1668.7,4442.7,3955.3,3145.8,5465.9,5190.9,1462.3,5918.6,5045.7,4108.2,-990,5806.5
2010,2,5,-990,7892.1,3047.9,8411.7,-990,11070.7,6186.7,3078.5,8640.8,11566.3,-990,7708.6,6589.1,11058.3,10414.1,12214.6,12610.9,14617.2
2010,2,6,-990,5721.7,4719.4,8017.2,-990,7963.4,6370.7,11563.7,9883.3,12449.1,9028.4,6808.9,11963.6,8244.5,12339.1,12640.5,12595.7,14739.7
2010,2,7,-990,5286.9,5717,5487,-990,4170.7,5736.7,4092.6,4184.6,6765.8,4846.9,5842.3,7598.1,4502,5814.4,8684.1,9188.5,9072.2
2010,2,8,-990,11319.9,10426.2,10806.1,-990,8218.4,10659.6,10000.5,7422.9,10785.4,7927.1,5225.1,7379.2,9041.8,11172.3,10638.6,11792.4,14341.5
2010,2,9,-990,12042,7399.9,11462.9,10744.4,9431.9,6152.9,6522.9,8407,13236.6,7819,9174.3,8945.2,11591.4,10595.3,10971.4,12039.3,12868.3
2010,2,10,-990,4217,2760.2,3990.8,4082.3,3272.7,3815.3,4367.3,4168.9,3742.7,4765,2728.1,4367.9,3171,4529.7,4788.2,4307.5,6749
2010,2,11,-990,15810.2,12967.9,12992.6,13039.6,13180.5,15333,15241.3,14167,14606.8,-990,8967.1,14867.6,14326.4,14962.4,15780.6,16286.1,15942.5
2010,2,12,-990,14999,10595.9,14136,10395,10410.6,10376,11414,7383.8,6922.8,5044.1,2976.8,3986.6,5621.5,4585.8,5484.2,3045.8,3080
2010,2,13,-990,16381.5,9851.9,15327.2,13881.6,14449,14774.8,12575.4,15638.7,15613.3,14527.9,10458.7,15442.1,15522,15825.9,15896.1,17378.8,15887.4
2010,2,14,-990,9748.5,9584.1,10651.3,8285.4,7769.3,10481.2,10347.5,7853.4,8800.9,6650.1,6555.9,7892.6,6107.9,6045.7,8467.7,7319.4,5572.6
2010,2,15,-990,6257.3,4729.1,8850.1,7225.3,3943.6,3933.7,4169.7,5473.8,2020.9,5529.9,2027.2,5561,1689.8,2196.7,5712.7,4159,6517.7
2010,2,16,-990,5776.4,4197.3,8641.9,8178.5,7014.8,7874.3,5035.7,8172.7,3680.7,-990,3815.7,3307.2,3696,5113.1,6222.5,6648.9,13572.3
2010,2,17,-990,7933.4,3468.5,4429.6,11697.9,7480.4,5808.8,3133.9,4557.2,5264.3,-990,9660.5,3830.8,12420.7,11082.5,8728.2,8936.3,14243.8
2010,2,18,-990,12695.8,8404.7,8113.4,11171.4,9531.8,8195.1,6267,8898.1,3856.1,-990,2991.9,3441.1,3246.3,2926,3188.5,2909.4,3988.5
2010,2,19,-990,14605.3,10202.6,15332.6,13230.9,14815.5,14287.9,16127.6,14498.6,16582.8,12650.1,11864.3,16305.1,13964.4,14428.4,15770,18004.7,16616.1
2010,2,20,-990,11023.7,9661.5,8069.8,13554.5,10972,10649.5,12852.3,13380.5,14895.9,13474.6,7217.9,12823.4,11541.9,13541.5,12903.8,12698,12108.4
2010,2,21,-990,8930.3,7932.9,6633.7,10074.7,10269.6,9086.8,7969,9541.5,6874.6,10666,7704.5,2474.5,8640.4,9738.1,8900.9,10902.9,15617.2
2010,2,22,-990,6887.9,4776.7,6515.3,6381,12163.9,5017.7,6419.4,5071.9,7228.4,6406.2,8636.6,6261,9507.1,11555.8,11877.5,10177.7,14817.1
2010,2,23,-990,6540.3,2884.6,4040.6,5745.5,6423,3278.6,5415.7,9136.3,7038.5,8842.5,8900.1,5485.7,9762.8,9101.8,7815.4,12725.8,16125
2010,2,24,-990,2091.8,3933.2,4473.3,1928.2,6315.9,2430.6,6888.6,6215.9,8723,10696,9787.3,5199.2,8366.6,6550,11874.4,14053,15401.3
2010,2,25,-990,8239.4,6779.4,8455.3,10950.2,11503.5,8191.4,9495.7,7855.8,8086.3,8951.2,6853.4,2948.1,7578.1,7002.9,7357.6,6739.4,7837.7
2010,2,26,-990,10288.5,14018,9601.9,12379.9,11627,12315.9,13323.3,11664.6,10069.8,8698.4,6975.6,8406.3,7032.2,-990,5790.8,6948.4,4872.4
2010,2,27,-990,2972.7,1873.3,1755.5,2972,3814.5,-990,2444.6,-990,3376.3,3756.3,4358.6,4639.8,4506.7,4615.8,5382.5,7264.6,6682.2
2010,2,28,-990,1853.9,4458.1,-990,2085.6,3460.3,6798.8,6005.4,9163.3,7957.3,7297.7,5294.4,7315.4,4662.8,4182.3,8986.2,8187.2,9958.3
2010,3,1,-990,12026.2,8325.6,-990,14396.2,13816.7,11319.2,8421.7,12835.3,12666.5,-990,13001,11600.9,14397.7,12953.6,14187.2,14511.3,15155.8
2010,3,2,-990,12153.5,10514.6,12044.1,9952.6,9637.6,9388.5,10263.7,8728.9,8997.7,8577,7356.2,7146.8,8545.8,8634.6,6752.5,5576.1,5762.6
2010,3,3,-990,12422,8830.3,9766.5,11879.2,12045.7,10991.2,7845.8,10322.5,8690.5,12038,8158.3,8244.6,3590.1,4808.3,6760.7,6501.8,10179.3
2010,3,4,-990,15647.4,13851,14369,11786.3,12258.7,14224.3,13783.2,10092.6,14065.4,9636.9,10961.2,13721.7,14515,10690.4,9434.7,9807.3,17084.4
2010,3,5,-990,2497.7,2455.1,3843.5,3118.1,3058.1,3443.7,2001.4,3002.2,2263.1,3181.9,2918.2,3402.6,2024.3,3359.4,4308.2,4397.1,5604
2010,3,6,-990,10162.1,2861.3,3101.7,6850.9,10185.9,11311.2,3572.9,8391.1,2731.6,-990,3980.9,9337.6,10827.6,15186.8,6648.1,5014.8,12594.9
2010,3,7,-990,4306.3,3906.5,4170.2,2768.8,6779.8,3839.3,5645,5089.2,5195.4,6304.2,7811.1,5231.9,9672,10583,9833.5,11432,14350.1
2010,3,8,-990,9412.3,10835.7,14734.4,7556.3,4879.9,-990,13111.6,4466.3,3842.9,-990,3098.3,2499.7,2630.7,3002.2,4454.4,3679.3,3605.5
2010,3,9,-990,21597.9,19295,19382.9,-990,19108.6,21104.6,20305.7,20499,20853.6,18589.6,18836.4,20273.9,18968.7,18872.4,20926.2,20996.8,20129.6
2010,3,10,-990,21137.7,19111.3,20440.8,15955.3,17159.3,20111.3,19315,18708.3,18484.9,17104.8,16078.3,17967.2,17322.9,15375.9,20900.1,17595.3,18443.5
2010,3,11,-990,-990,18037.3,16298.4,18446.4,19276.2,20120.6,20234.7,20381.6,18782.6,17691.7,16298.1,18483.7,16243.5,14496.8,12593.8,9097,7607.7
2010,3,12,-990,20491.7,14713,19639.2,17906,18956.3,17158.3,8515.4,20070.7,15973.2,18311,17952.4,17698.2,19788.5,20432.4,20314.7,22496,21237.2
2010,3,13,-990,21523,18044,18946.1,19097.4,19019.7,20132.4,20413.7,20851.8,21134.2,18869.8,18449.7,20752.7,19577.1,20009.2,21332.1,22899,21693.3
2010,3,14,-990,22574.6,20002.3,20338.3,19970.8,20683.5,21860.6,20722.9,22089.1,21302.4,19749.5,20240.6,20825.5,21264.9,21366.5,21893.9,23127.4,20168
2010,3,15,-990,19978.8,18288.9,20018.4,18737.4,19266.4,20198.8,18407.4,20229.3,20648.6,17603.4,18823,-990,13983.4,19555.9,21425.2,22448.5,22299.3
2010,3,16,-990,13273.4,15272.7,16717,11670.7,10573.5,16699.6,19262.6,14221.9,18349.4,14687.5,15377.8,-990,13987.5,17641.4,20036.1,20518.1,19852.3
2010,3,17,-990,16289.2,16322.7,18424.8,15249.7,15962.2,18676.3,18721.2,17949.2,18738.6,14849.3,14850,17701.4,16749.5,16318.7,17916.4,18488,15954.5
