# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 38.5843
# Longitude (positive East, ISO 19115): -28.7576
# Altitude (m): 519.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;139943.0781;99026.2266;77592.8047;21433.4199;202042.7656;68133.2188;33957.8750;34175.3398;87283.7812;0.9803
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;167440.3594;120601.0547;92867.9219;27733.1348;197448.8125;77820.2891;32125.1035;45695.1875;68308.0781;0.9814
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;245610.1406;181889.3906;144190.1719;37699.2227;255575.8750;93204.3594;31103.2070;62101.1523;57055.2656;0.9815
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;293403.1562;221356.0312;179268.8281;42087.2070;280375.3750;109830.9766;34659.4336;75171.5469;56674.4766;0.9814
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;342460.0000;261178.5938;221379.4219;39799.1719;328958.6562;151358.0781;71422.9375;79935.1406;106380.5312;0.9804
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346451.0000;262825.3438;224277.7969;38547.5469;327321.9688;145835.0469;65921.1094;79913.9453;92820.7969;0.9792
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;348502.7188;264186.0938;230060.2656;34125.8477;341333.6562;185252.6250;105367.3828;79885.2344;151357.1562;0.9785
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;315204.1250;236108.1875;205058.7500;31049.4316;318180.2188;164071.5938;90181.9062;73889.6875;143502.8906;0.9816
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;255171.8594;187278.2969;154547.0000;32731.3027;261674.3125;114495.9297;48575.2070;65920.7188;84008.1172;0.9825
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;203209.1250;148480.4375;120887.8125;27592.6309;242567.5781;94692.4375;45911.0703;48781.3672;91389.6719;0.9808
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;145887.8125;103097.1172;80073.2031;23023.9180;196080.5781;54818.6836;19445.9219;35372.7617;47967.1406;0.9805
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;125839.5703;86994.7266;64033.2578;22961.4668;176710.8750;39427.7695;10996.2627;28431.5078;31075.3633;0.9802
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;139678.0156;99589.5859;77746.6562;21842.9277;202295.9062;64235.6758;29911.8574;34323.8203;77267.3438;0.9800
2023-02-01T00:00:00.0/2023-03-01T00:00:00.0;167019.5156;122725.1094;98374.3359;24350.7715;212072.0312;76577.1406;30027.9160;46549.2227;66451.5781;0.9813
2023-03-01T00:00:00.0/2023-04-01T00:00:00.0;245109.7969;181597.3281;142715.3750;38881.9492;252875.0000;84618.1172;22546.5801;62071.5430;42850.5273;0.9808
2023-04-01T00:00:00.0/2023-05-01T00:00:00.0;293020.3438;221864.3125;180527.5469;41336.7656;282748.5625;121346.0234;44653.9570;76692.0703;69404.6953;0.9816
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;342241.5312;255245.2031;203350.5000;51894.7031;296943.0625;140918.3438;57472.9219;83445.4219;85983.5312;0.9808
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;346430.0625;247591.9844;185789.3281;61802.6523;262781.6250;146091.6250;56346.7500;89744.8750;79690.2578;0.9794
2023-07-01T00:00:00.0/2023-08-01T00:00:00.0;348673.1562;258956.1406;211892.0312;47064.1055;308403.4688;149738.5781;67752.1016;81986.4688;103792.4922;0.9796
2023-08-01T00:00:00.0/2023-09-01T00:00:00.0;315547.1875;234958.9531;197538.5000;37420.4492;302684.6250;178163.0781;112059.3672;66103.7188;169589.9062;0.9817
2023-09-01T00:00:00.0/2023-10-01T00:00:00.0;255618.9844;188176.1406;153086.0938;35090.0430;258450.3125;127452.0469;67015.9062;60436.1406;113798.6641;0.9827
2023-10-01T00:00:00.0/2023-11-01T00:00:00.0;203681.7344;147607.6719;117226.2344;30381.4355;233707.8594;84727.1875;38068.2656;46658.9219;72168.6719;0.9810
2023-11-01T00:00:00.0/2023-12-01T00:00:00.0;146204.2969;102642.2266;81315.4531;21326.7773;198988.5625;50286.2695;15709.7109;34576.5586;39732.3867;0.9804
2023-12-01T00:00:00.0/2024-01-01T00:00:00.0;125889.5312;86975.5469;66821.0078;20154.5391;186247.1875;45582.7969;14976.8311;30605.9629;42762.8594;0.9801
2024-01-01T00:00:00.0/2024-02-01T00:00:00.0;139422.5781;97796.9688;75959.7188;21837.2500;197195.7031;48376.6367;14794.9277;33581.7070;39745.1211;0.9799
2024-02-01T00:00:00.0/2024-03-01T00:00:00.0;173491.2969;125088.5703;97849.4531;27239.1152;208620.7969;65380.2617;23778.3652;41601.8984;50343.7070;0.9812
2024-03-01T00:00:00.0/2024-04-01T00:00:00.0;246678.3750;184598.6719;148210.9062;36387.7656;262634.1875;95486.1562;29549.8438;65936.3125;51940.0117;0.9820
2024-04-01T00:00:00.0/2024-05-01T00:00:00.0;294224.1875;221750.7969;181153.7031;40597.0977;284071.0625;115613.5000;41562.7852;74050.7188;66108.8125;0.9805
2024-05-01T00:00:00.0/2024-06-01T00:00:00.0;342932.7812;260107.4062;219360.6250;40746.7852;324872.5625;146501.5156;61241.0000;85260.5234;91945.5547;0.9800
2024-06-01T00:00:00.0/2024-07-01T00:00:00.0;346499.4688;263810.8438;226917.7031;36893.1523;332395.3125;181422.5312;102499.4609;78923.0625;153588.1875;0.9791
2024-07-01T00:00:00.0/2024-08-01T00:00:00.0;348138.1250;261517.3906;223324.9844;38192.3984;328289.3438;187217.7656;117931.0781;69286.6797;171163.6406;0.9796
2024-08-01T00:00:00.0/2024-09-01T00:00:00.0;314470.0625;233291.6719;196566.3750;36725.2969;301943.8438;180972.3750;114517.9219;66454.4609;177176.9688;0.9783
2024-09-01T00:00:00.0/2024-10-01T00:00:00.0;254216.8594;188244.0156;156689.8438;31554.1680;266269.7500;133692.9844;75496.6484;58196.3398;126504.6484;0.9831
2024-10-01T00:00:00.0/2024-11-01T00:00:00.0;202197.1406;145449.5469;115236.6562;30212.8848;231910.6094;78797.1562;28815.8164;49981.3398;59295.5430;0.9812
2024-11-01T00:00:00.0/2024-12-01T00:00:00.0;145205.0312;102220.6172;80492.9844;21727.6348;198596.6875;51527.9609;17598.9531;33929.0039;44735.4570;0.9807
2024-12-01T00:00:00.0/2025-01-01T00:00:00.0;125732.6875;86863.9688;67531.7891;19332.1836;188679.8281;50095.9609;17626.0117;32469.9492;50139.1992;0.9802
2025-01-01T00:00:00.0/2025-02-01T00:00:00.0;140241.7656;97730.3828;75237.7109;22492.6680;194311.3594;41023.1953;9637.3652;31385.8281;25824.3516;0.9796
2025-02-01T00:00:00.0/2025-03-01T00:00:00.0;167917.0000;121550.9141;96592.2344;24958.6758;206578.2656;54138.1250;16464.1816;37673.9453;34157.6289;0.9809
2025-03-01T00:00:00.0/2025-04-01T00:00:00.0;246178.5156;184900.5156;151430.8594;33469.6484;270567.1562;98461.3125;38732.1055;59729.2031;71774.7344;0.9815
2025-04-01T00:00:00.0/2025-05-01T00:00:00.0;293840.3750;222893.7031;182963.3125;39930.3906;287286.8750;108220.4531;36343.1641;71877.2812;56303.7852;0.9808
2025-05-01T00:00:00.0/2025-06-01T00:00:00.0;342714.0000;257130.4531;209685.0781;47445.3633;309029.2188;130742.1484;43546.5352;87195.6172;65434.7227;0.9800
