# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 41.5357
# Longitude (positive East, ISO 19115): -8.4251
# Altitude (m): 218.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;124329.6250;86651.3984;67590.3125;19061.0879;192672.3438;73877.6250;51867.6016;22010.0234;146812.0781;0.9788
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;154350.1094;108571.4688;82444.8125;26126.6523;188207.5469;82920.0078;49005.7148;33914.2930;115935.7188;0.9802
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;234203.0469;167425.9375;125191.4297;42234.5117;230744.8125;107202.7422;49434.2383;57768.5000;93384.2344;0.9806
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;286971.2812;217010.0469;180059.3438;36950.7031;292626.1875;171890.5469;114701.6484;57188.8945;190775.3750;0.9805
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;340485.5938;251584.7188;202271.0000;49313.7148;304458.2188;189585.5938;126131.4766;63454.1133;189394.2500;0.9794
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346892.9688;255469.3125;205926.9375;49542.3789;301961.3125;179774.0781;100960.5000;78813.5781;155220.4531;0.9784
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;347829.3125;253901.6094;203635.4531;50266.1680;301146.5312;235896.2188;174131.2500;61764.9688;256602.7969;0.9786
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;310525.0625;226113.9375;181016.7344;45097.1992;282464.2500;206762.4219;148998.0625;57764.3516;232997.7031;0.9809
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;246033.3438;179611.4688;147936.5312;31674.9297;260811.5938;139474.5312;88726.0469;50748.4922;159709.1562;0.9815
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;189998.9688;132769.0312;99337.9688;33431.0664;207273.5000;86925.5938;47588.6602;39336.9375;98497.4609;0.9804
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;131246.5781;90935.4453;68490.4844;22444.9551;180791.6250;56690.5508;28552.7930;28137.7578;77623.7500;0.9795
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;110186.8359;72986.3203;52098.7031;20887.6152;159366.2969;36099.3398;15769.4766;20329.8613;51298.1406;0.9787
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;124061.2969;86278.6797;66339.6484;19939.0293;188757.5156;64946.8984;44863.5625;20083.3340;128913.8750;0.9784
2023-02-01T00:00:00.0/2023-03-01T00:00:00.0;153913.8594;109248.2891;84821.8906;24426.3965;196330.0938;95903.1406;69103.0859;26800.0566;162992.4844;0.9803
2023-03-01T00:00:00.0/2023-04-01T00:00:00.0;233669.4219;170581.0469;130789.4297;39791.6133;242475.0312;116383.0625;62902.8203;53480.2422;121078.3906;0.9796
2023-04-01T00:00:00.0/2023-05-01T00:00:00.0;286549.3750;214581.3281;173290.9219;41290.4062;279768.0312;169333.0625;106135.6250;63197.4336;175282.6562;0.9808
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;340236.2812;249888.4531;194803.0312;55085.4141;289937.8125;200074.6250;126679.0391;73395.5781;192291.8438;0.9797
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;346866.5625;247217.1875;186167.4375;61049.7578;268687.6875;200813.2812;124549.5391;76263.7500;180072.5156;0.9787
2023-07-01T00:00:00.0/2023-08-01T00:00:00.0;348021.8750;259626.6250;214850.1719;44776.4570;319890.5625;225410.1875;160142.9219;65267.2773;241557.6406;0.9792
2023-08-01T00:00:00.0/2023-09-01T00:00:00.0;310906.4062;230647.9531;192294.2969;38353.6641;302787.1562;203327.6719;151474.1875;51853.4883;240986.6250;0.9808
2023-09-01T00:00:00.0/2023-10-01T00:00:00.0;246515.1719;178332.5469;140584.8438;37747.7031;246969.9219;139679.6875;85926.0781;53753.6133;155258.0938;0.9816
2023-10-01T00:00:00.0/2023-11-01T00:00:00.0;190494.7188;132574.2031;96503.8750;36070.3281;199362.8281;87065.2344;47660.7461;39404.4844;96232.0000;0.9804
