# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 40.7169
# Longitude (positive East, ISO 19115): -8.2013
# Altitude (m): 530.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;128650.2109;91674.2344;73819.1953;17855.0352;206743.4688;81439.0625;58988.4023;22450.6582;166269.4531;0.9796
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;157986.7656;113377.2812;88968.0469;24409.2305;200925.1250;87701.5859;54733.6914;32967.8984;127043.2109;0.9806
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;237396.7188;172004.7812;132156.7969;39847.9727;242122.4062;105271.9609;46252.7461;59019.2148;89763.6875;0.9808
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;288800.5938;220613.7344;186067.5000;34546.2383;301436.9688;173191.5469;112167.0938;61024.4609;187404.9531;0.9807
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;341087.0312;254879.9688;208842.0469;46037.9141;313675.0000;203921.7656;136393.9844;67527.7734;205842.4375;0.9795
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346828.3438;258865.7344;213152.9531;45712.7852;313008.8125;192456.0625;118381.8594;74074.2031;174841.2969;0.9764
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;348092.6250;258270.6875;211429.5156;46841.1641;312067.4375;245929.5781;188429.6250;57499.9609;279049.5625;0.9786
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;311918.5938;231426.5469;191059.5312;40367.0156;297524.7500;224688.1406;178563.5469;46124.5820;276829.4375;0.9811
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;248664.4375;184290.0156;155795.9375;28494.0898;273275.4688;144862.5938;95438.3516;49424.2461;170692.9844;0.9816
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;193742.4219;136930.9531;104793.0312;32137.9277;216684.7344;99406.3672;55779.6758;43626.6914;113151.1797;0.9808
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;135345.0469;95507.0078;75279.6953;20227.3105;196473.5156;60826.9883;34708.9453;26118.0430;94019.4062;0.9799
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;114528.3281;77523.2578;57449.8086;20073.4492;171718.6875;37903.3203;15922.2803;21981.0391;50074.1250;0.9785
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;128382.8047;91318.8984;72973.4766;18345.4199;204308.3281;67284.9219;47264.5664;20020.3555;133207.9062;0.9792
2023-02-01T00:00:00.0/2023-03-01T00:00:00.0;157554.4844;114205.6406;90877.0547;23328.5820;207728.5469;97106.9062;70609.6016;26497.3066;165909.3281;0.9807
2023-03-01T00:00:00.0/2023-04-01T00:00:00.0;236872.1875;176221.7344;141345.7500;34875.9922;260742.6875;131239.7500;79396.4766;51843.2695;149445.3906;0.9798
2023-04-01T00:00:00.0/2023-05-01T00:00:00.0;288389.3438;219594.6406;182523.8594;37070.7969;294585.6875;179589.0938;123883.2422;55705.8555;201976.0625;0.9810
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;340845.9375;254330.9375;204344.6719;49986.2539;304586.5312;196817.6406;129256.9453;67560.7031;195267.0000;0.9798
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;346803.4375;251953.3281;196433.7656;55519.5664;283248.1875;205337.0000;129754.8828;75582.1172;188441.9062;0.9766
2023-07-01T00:00:00.0/2023-08-01T00:00:00.0;348278.7812;264086.2500;224373.4844;39712.7734;334604.0938;241609.4688;189265.8125;52343.6562;282521.9062;0.9792
2023-08-01T00:00:00.0/2023-09-01T00:00:00.0;312288.4688;235218.6719;200890.3125;34328.3516;315786.0625;218358.0625;173980.4844;44377.5742;271288.1875;0.9813
2023-09-01T00:00:00.0/2023-10-01T00:00:00.0;249136.7969;183053.0000;148773.9688;34279.0352;259955.4062;140590.3281;87887.6797;52702.6523;158186.7656;0.9817
2023-10-01T00:00:00.0/2023-11-01T00:00:00.0;194232.1094;138427.2500;106642.4062;31784.8438;219053.2344;90762.4688;54200.1562;36562.3125;108261.7266;0.9810
2023-11-01T00:00:00.0/2023-12-01T00:00:00.0;135667.7969;94690.0469;72523.7422;22166.2988;189840.0000;58054.0898;30835.6348;27218.4570;85316.2734;0.9797
2023-12-01T00:00:00.0/2024-01-01T00:00:00.0;114579.6328;79883.2891;63080.2305;16803.0547;191786.6719;56535.0703;36131.7617;20403.3105;114140.5234;0.9785
2024-01-01T00:00:00.0/2024-02-01T00:00:00.0;128124.8516;88235.1328;66975.3516;21259.7812;187471.8750;61475.1836;36171.6719;25303.5078;101759.9531;0.9794
2024-02-01T00:00:00.0/2024-03-01T00:00:00.0;163704.4219;116721.1406;90058.6797;26662.4590;201870.7500;78901.5938;44350.6836;34550.9141;104037.7656;0.9806
2024-03-01T00:00:00.0/2024-04-01T00:00:00.0;238516.1875;174898.5938;133257.8125;41640.7812;243721.4062;114828.4688;57609.0312;57219.4375;106581.8750;0.9813
2024-04-01T00:00:00.0/2024-05-01T00:00:00.0;289681.7500;219764.1562;181250.0000;38514.1523;293575.7188;181774.2188;127354.3203;54419.9023;210077.7188;0.9789
2024-05-01T00:00:00.0/2024-06-01T00:00:00.0;341607.0625;261485.6875;219626.8438;41858.8555;333529.1562;192948.1406;129205.5156;63742.6250;198106.7656;0.9795
2024-06-01T00:00:00.0/2024-07-01T00:00:00.0;346885.2812;259310.3438;212012.2969;47298.0547;311099.0625;185421.6562;114410.7891;71010.8750;168810.4688;0.9761
2024-07-01T00:00:00.0/2024-08-01T00:00:00.0;347694.1562;262601.9688;223819.1094;38782.8555;335522.7812;241588.4375;195285.7188;46302.7148;292504.0938;0.9791
2024-08-01T00:00:00.0/2024-09-01T00:00:00.0;311127.1875;233843.9531;198130.2500;35713.7031;311361.9375;225529.3594;183284.2344;42245.1133;285215.4688;0.9780
2024-09-01T00:00:00.0/2024-10-01T00:00:00.0;247655.8750;178905.9844;142872.9531;36033.0273;250141.7656;146687.5156;99237.9219;47449.6016;176467.5625;0.9822
2024-10-01T00:00:00.0/2024-11-01T00:00:00.0;192694.9688;137445.3750;108149.0938;29296.2715;227078.7656;82688.5000;41744.3438;40944.1602;91957.5156;0.9810
2024-11-01T00:00:00.0/2024-12-01T00:00:00.0;134649.7969;92614.0391;70829.9453;21784.0918;184052.7031;65899.1094;37493.2734;28405.8320;99833.5781;0.9799
2024-12-01T00:00:00.0/2025-01-01T00:00:00.0;114418.5938;79578.2891;62906.4844;16671.8008;190752.8125;70741.0703;50394.8398;20346.2305;154041.9844;0.9786
2025-01-01T00:00:00.0/2025-02-01T00:00:00.0;128951.2422;90763.0469;70073.0391;20690.0078;194565.2500;56412.4648;33555.8516;22856.6133;96587.0781;0.9790
2025-02-01T00:00:00.0/2025-03-01T00:00:00.0;158475.9219;113753.4375;88634.6484;25118.7832;199404.6562;70848.4141;31465.8965;39382.5156;76335.2812;0.9802
2025-03-01T00:00:00.0/2025-04-01T00:00:00.0;237992.1094;178334.5625;145294.1406;33040.4180;269943.9688;120422.1094;71256.2188;49165.8906;134130.6875;0.9809
2025-04-01T00:00:00.0/2025-05-01T00:00:00.0;289269.5000;217493.7500;176036.8750;41456.8828;282729.6562;145664.8906;86061.4531;59603.4336;141505.9844;0.9798
