# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 40.9809
# Longitude (positive East, ISO 19115): -7.8832
# Altitude (m): 921.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;127256.4375;92887.3672;76843.9453;16043.4209;218744.7344;81604.1953;59247.3359;22356.8574;168858.0312;0.9796
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;156815.0000;115459.2188;93612.4062;21846.8145;214277.1875;88328.7344;55137.4961;33191.2344;130034.3125;0.9807
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;236369.9062;175848.1250;140555.5156;35292.6094;260983.7500;98996.1094;40534.1953;58461.9102;81294.3750;0.9807
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;288214.8125;224450.5625;194141.5156;30309.0430;318220.2500;178616.7500;120131.4453;58485.2969;203362.0469;0.9807
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;340897.5938;260552.9219;218795.0312;41757.8867;332051.8438;208796.1562;146051.1875;62744.9766;225559.2500;0.9796
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346853.9688;264774.5938;224117.9844;40656.6211;332541.6875;194564.5312;121224.0469;73340.4922;178808.0625;0.9758
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;348013.9062;262986.8750;219117.4531;43869.4102;325846.5000;249319.0938;195235.8438;54083.2539;291272.0000;0.9784
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;311477.0625;234460.3594;195957.0781;38503.2812;307384.9375;227889.4375;183408.4688;44480.9688;287258.0312;0.9810
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;247823.6094;187560.9062;162586.0156;24974.8867;288921.1875;146875.6094;99317.1406;47558.4727;180650.9219;0.9816
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;192541.4531;139880.6875;111977.6094;27903.0879;235224.9844;95212.0234;56264.0078;38948.0195;115753.0859;0.9805
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;134026.1250;97017.2344;79780.7812;17236.4512;212213.4062;60254.9414;32428.2754;27826.6641;88745.9375;0.9797
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;113128.1797;78893.7422;61598.1641;17295.5781;187974.2812;33109.8477;12348.9238;20760.9258;41863.2188;0.9791
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;126988.7266;92628.7500;76894.2812;15734.4678;219371.3125;69342.8203;48807.4219;20535.3945;140418.9844;0.9791
2023-02-01T00:00:00.0/2023-03-01T00:00:00.0;156381.3906;116400.5312;95201.5312;21198.9961;220412.0156;99078.6328;71220.6641;27857.9727;168553.0625;0.9808
2023-03-01T00:00:00.0/2023-04-01T00:00:00.0;235842.4062;179363.2500;148887.2031;30476.0410;278722.0000;135138.9062;86469.6406;48669.2617;164540.8906;0.9797
2023-04-01T00:00:00.0/2023-05-01T00:00:00.0;287799.9688;223589.6406;190655.4219;32934.2188;311423.9688;186613.4219;132632.2969;53981.1133;218176.9062;0.9809
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;340654.0938;260027.0156;214804.4062;45222.6094;323136.6562;202326.7188;132481.6719;69845.0547;202556.1719;0.9798
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;346828.6250;258141.0000;207668.7812;50472.2188;302615.9062;199868.1250;124356.1719;75511.9609;188178.2812;0.9759
2023-07-01T00:00:00.0/2023-08-01T00:00:00.0;348202.3125;268972.3750;232742.2500;36230.1172;350496.2812;251228.2969;201999.1562;49229.1289;306672.6562;0.9789
2023-08-01T00:00:00.0/2023-09-01T00:00:00.0;311850.5938;239508.4688;208922.2500;30586.2188;332082.0312;224409.4062;183145.5938;41263.8164;293180.5625;0.9811
2023-09-01T00:00:00.0/2023-10-01T00:00:00.0;248298.6562;186348.3281;155665.1406;30683.1855;275331.0312;131760.9219;80221.3125;51539.6094;148472.4375;0.9818
2023-10-01T00:00:00.0/2023-11-01T00:00:00.0;193033.0000;141419.4062;114658.7188;26760.6816;240319.4844;92789.3828;57030.9453;35758.4414;117403.2266;0.9807
2023-11-01T00:00:00.0/2023-12-01T00:00:00.0;134349.7812;96326.4141;77424.1016;18902.3184;206225.7500;60002.0977;33455.5312;26546.5664;95091.5703;0.9795
