Data;Ano;Mês;ano_mes;Distrito;Concelho;Nível de Tensão;Potência Instalada (kW);Número de Instalações;Energia Injetada (kWh);Código Distrito;Código Concelho;Código Freguesia
2024-08;2024;08;202408;Lisboa;Torres Vedras;BTN/BTE;6467.290000000025;2308;377036.48999999935;11;1113;111300
2024-08;2024;08;202408;Vila Real;Chaves;MT/AT;3189.36;28;82611.25;17;1703;170300
2024-08;2024;08;202408;Viseu;Lamego;BTN/BTE;1348.7599999999995;406;91731.61399999996;18;1805;180500
2024-08;2024;08;202408;Porto;Penafiel;BTN/BTE;4894.5900000000065;1809;271647.6159999999;13;1311;131100
2024-07;2024;07;202407;Porto;Penafiel;BTN/BTE;4825.270000000004;1771;287223.48499999964;13;1311;131100
2024-08;2024;08;202408;Faro;São Brás de Alportel;BTN/BTE;1547.5000000000005;413;74791.54299999993;08;0812;081200
2024-08;2024;08;202408;Aveiro;Mealhada;BTN/BTE;1624.919999999998;645;86375.95799999977;01;0111;011100
2024-08;2024;08;202408;Lisboa;Vila Franca de Xira;MT/AT;6966.110000000001;37;126607.75;11;1114;111400
2024-07;2024;07;202407;Faro;Monchique;BTN/BTE;481.55999999999995;113;28261.876999999968;08;0809;080900
2024-08;2024;08;202408;Setúbal;Alcochete;MT/AT;1471.3899999999999;15;39227.75;15;1502;150200
2024-07;2024;07;202407;Braga;Esposende;MT/AT;638.3199999999999;9;8702.75;03;0306;030600
2024-08;2024;08;202408;Aveiro;Oliveira de Azeméis;MT/AT;18651.74;95;926951.5;01;0113;011300
2024-08;2024;08;202408;Leiria;Bombarral;MT/AT;2134.63;12;28319.0;10;1005;100500
2024-08;2024;08;202408;Leiria;Bombarral;BTN/BTE;1336.1900000000005;395;82724.77299999984;10;1005;100500
2024-08;2024;08;202408;Bragança;Macedo de Cavaleiros;MT/AT;553.08;5;2321.25;04;0405;040500
2024-08;2024;08;202408;Portalegre;Sousel;BTN/BTE;1087.4699999999998;128;56807.57399999998;12;1215;121500
2024-07;2024;07;202407;Portalegre;Sousel;BTN/BTE;996.4699999999999;122;53970.83499999998;12;1215;121500
2024-08;2024;08;202408;Vila Real;Mondim de Basto;BTN/BTE;433.66;184;28861.764999999967;17;1705;170500
2024-08;2024;08;202408;Setúbal;Setúbal;BTN/BTE;6268.200000000067;2953;361958.3619999993;15;1512;151200
2024-08;2024;08;202408;Santarém;Sardoal;BTN/BTE;305.74999999999994;130;22503.370999999992;14;1417;141700
2024-08;2024;08;202408;Braga;Vizela;BTN/BTE;1734.06;836;77846.8419999999;03;0314;031400
2024-07;2024;07;202407;Évora;Évora;BTN/BTE;4519.910000000002;1237;288276.03099999996;07;0705;070500
2024-08;2024;08;202408;Guarda;Sabugal;MT/AT;222.66;3;3911.25;09;0911;091100
2024-08;2024;08;202408;Guarda;Sabugal;BTN/BTE;875.6899999999996;283;60104.43699999992;09;0911;091100
2024-08;2024;08;202408;Braga;Celorico de Basto;BTN/BTE;1389.050000000002;556;72810.59499999996;03;0305;030500
2024-08;2024;08;202408;Braga;Vila Nova de Famalicão;MT/AT;33172.869999999995;147;1555449.5;03;0312;031200
2024-08;2024;08;202408;Viana do Castelo;Vila Nova de Cerveira;BTN/BTE;662.5200000000002;286;46569.03299999992;16;1610;161000
2024-07;2024;07;202407;Faro;Silves;MT/AT;2248.49;13;27904.75;08;0813;081300
2024-07;2024;07;202407;Aveiro;Ovar;BTN/BTE;3844.1100000000038;1438;251353.8849999996;01;0115;011500
2024-07;2024;07;202407;Viana do Castelo;Ponte da Barca;MT/AT;394.2;3;1434.25;16;1606;160600
2024-07;2024;07;202407;Lisboa;Loures;MT/AT;11996.800000000003;63;261517.5;11;1107;110700
2024-07;2024;07;202407;Leiria;Pombal;MT/AT;10392.169999999996;64;354989.0;10;1015;101500
2024-07;2024;07;202407;Aveiro;Albergaria-a-Velha;BTN/BTE;2338.4700000000007;695;135552.97599999985;01;0102;010200
2024-07;2024;07;202407;Porto;Santo Tirso;BTN/BTE;4795.180000000013;2203;286044.50899999967;13;1314;131400
2024-07;2024;07;202407;Santarém;Vila Nova da Barquinha;MT/AT;452.0;4;10580.5;14;1420;142000
2024-07;2024;07;202407;Porto;Matosinhos;BTN/BTE;6001.000000000005;1780;315741.30599999975;13;1308;130800
2024-07;2024;07;202407;Viseu;Carregal do Sal;MT/AT;1759.94;11;98302.75;18;1802;180200
2024-07;2024;07;202407;Aveiro;Santa Maria da Feira;BTN/BTE;8961.310000000034;2850;586984.6809999994;01;0109;010900
2024-07;2024;07;202407;Portalegre;Fronteira;BTN/BTE;352.28999999999996;87;30064.467999999986;12;1208;120800
2024-07;2024;07;202407;Vila Real;Vila Pouca de Aguiar;BTN/BTE;1155.33;432;75225.79599999993;17;1713;171300
2024-07;2024;07;202407;Aveiro;Oliveira de Azeméis;BTN/BTE;5528.830000000004;1415;308918.91599999974;01;0113;011300
2024-07;2024;07;202407;Évora;Borba;BTN/BTE;927.22;169;56266.02599999991;07;0703;070300
2024-07;2024;07;202407;Porto;Maia;MT/AT;14982.899999999998;61;450838.5;13;1306;130600
2024-07;2024;07;202407;Lisboa;Torres Vedras;BTN/BTE;6240.030000000027;2273;379656.9719999993;11;1113;111300
2024-07;2024;07;202407;Leiria;Leiria;MT/AT;29233.300000000003;167;790573.305;10;1009;100900
2024-07;2024;07;202407;Beja;Alvito;MT/AT;311.25;4;9976.25;02;0203;020300
2024-07;2024;07;202407;Setúbal;Almada;BTN/BTE;7073.420000000083;3416;475949.6409999997;15;1503;150300
2024-07;2024;07;202407;Braga;Barcelos;BTN/BTE;13629.940000000028;3910;795102.7359999986;03;0302;030200
2024-07;2024;07;202407;Castelo Branco;Idanha-a-Nova;MT/AT;1625.0;18;77797.0;05;0505;050500
2024-07;2024;07;202407;Viseu;Nelas;BTN/BTE;1207.2800000000007;445;87788.16499999996;18;1809;180900
2024-07;2024;07;202407;Setúbal;Montijo;MT/AT;6492.710000000001;26;151417.5;15;1507;150700
2024-07;2024;07;202407;Setúbal;Santiago do Cacém;MT/AT;2683.6400000000003;13;23337.0;15;1509;150900
2024-07;2024;07;202407;Faro;Portimão;MT/AT;2777.83;20;30353.75;08;0811;081100
2024-07;2024;07;202407;Setúbal;Sines;BTN/BTE;661.0199999999999;238;43339.37499999992;15;1513;151300
2024-07;2024;07;202407;Porto;Baião;BTN/BTE;763.4499999999998;300;47012.01499999993;13;1302;130200
2024-07;2024;07;202407;Coimbra;Coimbra;MT/AT;7911.290000000001;55;178204.75;06;0603;060300
2024-07;2024;07;202407;Coimbra;Lousã;MT/AT;1795.95;7;57946.75;06;0607;060700
